time,reporter,call_sign,band
2020-12-13 15:00:00,LU1ZG,DP0GVN,20m
2020-12-13 15:00:00,LU1IBL,LU4HK,40m
2020-12-13 15:00:00,LU1MAW,LU4HK,40m
2020-12-13 15:00:00,LU2MMR,LU4HK,40m
2020-12-13 15:00:00,LU7DSU,LU4HK,40m
2020-12-13 15:00:00,LU7WA,LU4HK,40m
2020-12-13 15:00:00,PT2FHC,LU4HK,40m
2020-12-13 15:00:00,PY2GN,LU4HK,40m
2020-12-13 15:00:00,PY2UGO,LU4HK,40m
2020-12-13 15:00:00,LU1IBL,LW1EAA,40m
2020-12-13 15:00:00,LU1IBL,LW1EAA,40m
2020-12-13 15:00:00,LU1MAW,LW1EAA,40m
2020-12-13 15:00:00,LU2MMR,LW1EAA,40m
2020-12-13 15:00:00,LU7DSU,LW1EAA,40m
2020-12-13 15:00:00,PT2FHC,LW1EAA,40m
2020-12-13 15:00:00,PY2GN,LW1EAA,40m
2020-12-13 15:00:00,PY2UGO,LW1EAA,40m
2020-12-13 15:02:00,LU1IBL,LU3BCM,40m
2020-12-13 15:02:00,LU1IBL,LU3BCM,40m
2020-12-13 15:02:00,LU2MMR,LU3BCM,40m
2020-12-13 15:02:00,LU4HK,LU3BCM,40m
2020-12-13 15:02:00,LU7DSU,LU3BCM,40m
2020-12-13 15:02:00,LW1EAA,LU3BCM,40m
2020-12-13 15:02:00,LW1EAA,LU3BCM,40m
2020-12-13 15:02:00,PT2FHC,LU3BCM,40m
2020-12-13 15:02:00,PY2GN,LU3BCM,40m
2020-12-13 15:02:00,PY2UGO,LU3BCM,40m
2020-12-13 15:02:00,LU2MMR,LU7WA,40m
2020-12-13 15:02:00,LU4HK,LU7WA,40m
2020-12-13 15:02:00,LU7DSU,LU7WA,40m
2020-12-13 15:02:00,LU2MMR,LU8YD,40m
2020-12-13 15:04:00,DP0GVN-1,LU1HVK,20m
2020-12-13 15:04:00,LU3DJ,LU1HVK,20m
2020-12-13 15:04:00,LU3DJ,LU1HVK,20m
2020-12-13 15:04:00,LU4ECL,LU1HVK,20m
2020-12-13 15:04:00,LU7CRA,LU1HVK,20m
2020-12-13 15:04:00,LU7CRA,LU1HVK,20m
2020-12-13 15:04:00,PT2FHC,LU1HVK,20m
2020-12-13 15:04:00,PY2GN,LU1HVK,20m
2020-12-13 15:04:00,PY2SDR,LU1HVK,20m
2020-12-13 15:04:00,PY2SWL,LU1HVK,20m
2020-12-13 15:04:00,LU1IBL,LU3BCM,40m
2020-12-13 15:04:00,LU1MAW,LU3BCM,40m
2020-12-13 15:04:00,LU4HK,LU3BCM,40m
2020-12-13 15:04:00,PT2FHC,LU3BCM,40m
2020-12-13 15:04:00,PY2GN,LU3BCM,40m
2020-12-13 15:04:00,PY2UGO,LU3BCM,40m
2020-12-13 15:04:00,LU4HK,LU7DSU,40m
2020-12-13 15:04:00,LU7YG,LU8YD,80m
2020-12-13 15:04:00,CE3BSK,LU9WT,20m
2020-12-13 15:04:00,CE3JSX,LU9WT,20m
2020-12-13 15:04:00,CE3JSX,LU9WT,20m
2020-12-13 15:04:00,DP0GVN,LU9WT,20m
2020-12-13 15:04:00,DP0GVN-1,LU9WT,20m
2020-12-13 15:04:00,LU1HKO,LU9WT,20m
2020-12-13 15:04:00,LU3DJ,LU9WT,20m
2020-12-13 15:04:00,LU3DJ,LU9WT,20m
2020-12-13 15:04:00,LU4ECL,LU9WT,20m
2020-12-13 15:04:00,LU7CRA,LU9WT,20m
2020-12-13 15:04:00,LU7CRA,LU9WT,20m
2020-12-13 15:04:00,PT2FHC,LU9WT,20m
2020-12-13 15:04:00,PY2GN,LU9WT,20m
2020-12-13 15:04:00,PY2SDR,LU9WT,20m
2020-12-13 15:06:00,PT2FHC,CP6EE,40m
2020-12-13 15:06:00,PY2GN,CP6EE,40m
2020-12-13 15:06:00,PY2SDR,LU4FDV,20m
2020-12-13 15:06:00,CE3BSK,LU7CRA,20m
2020-12-13 15:06:00,LU1ESY,LU7CRA,20m
2020-12-13 15:06:00,LU1HVK,LU7CRA,20m
2020-12-13 15:06:00,PT2FHC,LU7CRA,20m
2020-12-13 15:06:00,PY2GN,LU7CRA,20m
2020-12-13 15:06:00,PY2SDR,LU7CRA,20m
2020-12-13 15:06:00,LU1MAW,LU8DPV,40m
2020-12-13 15:06:00,LU2MMR,LU8DPV,40m
2020-12-13 15:06:00,LU3BCM,LU8DPV,40m
2020-12-13 15:06:00,LU4AA,LU8DPV,40m
2020-12-13 15:06:00,LU4HK,LU8DPV,40m
2020-12-13 15:06:00,LU7DSU,LU8DPV,40m
2020-12-13 15:06:00,LW1EAA,LU8DPV,40m
2020-12-13 15:06:00,PY2UGO,LU8DPV,40m
